日付,登録者名,業務区分,時間
2026/06/01,佐藤 健一,会議・MTG（情報共有・報告）,1.0
2026/06/01,佐藤 健一,会議・MTG（情報共有・報告）,0.5
2026/06/01,佐藤 健一,業務進行,1.5
2026/06/01,佐藤 健一,会議・MTG（意思決定）,1.0
2026/06/01,佐藤 健一,データ集計・分析・考察・思考,2.0
2026/06/01,佐藤 健一,その他,1.0
2026/06/01,鈴木 美和,業務進行,1.0
2026/06/01,鈴木 美和,クライアント対応,0.5
2026/06/01,鈴木 美和,会議・MTG（情報共有・報告）,0.5
2026/06/01,鈴木 美和,申請・手続き・事務対応,3.0
2026/06/01,鈴木 美和,データ集計・分析・考察・思考,2.0
2026/06/01,鈴木 美和,資料作成・確認,0.5
2026/06/01,高橋 彼,申請・手続き・事務対応,3.0
2026/06/01,高橋 彼,会議・MTG（情報共有・報告）,0.5
2026/06/01,高橋 彼,資料作成・確認,3.0
2026/06/01,田中 智,申請・手続き・事務対応,3.0
2026/06/01,田中 智,クライアント対応,2.0
2026/06/01,田中 智,資料作成・確認,1.5
2026/06/01,田中 智,会議・MTG（問題解決）,1.0
2026/06/01,伊藤 儚,申請・手続き・事務対応,1.5
2026/06/01,伊藤 儚,会議・MTG（情報共有・報告）,3.0
2026/06/01,伊藤 儚,その他,3.0
2026/06/01,渡辺 優,情報探索・問い合わせ,2.0
2026/06/01,渡辺 優,業務進行,0.5
2026/06/01,渡辺 優,申請・手続き・事務対応,1.5
2026/06/01,渡辺 優,その他,3.0
2026/06/02,佐藤 健一,クライアント対応,0.5
2026/06/02,佐藤 健一,会議・MTG（問題解決）,0.5
2026/06/02,佐藤 健一,その他,3.0
2026/06/02,佐藤 健一,会議・MTG（意思決定）,2.0
2026/06/02,佐藤 健一,会議・MTG（意思決定）,1.5
2026/06/02,鈴木 美和,データ集計・分析・考察・思考,3.0
2026/06/02,鈴木 美和,会議・MTG（その他）,1.0
2026/06/02,鈴木 美和,その他,1.0
2026/06/02,鈴木 美和,会議・MTG（意思決定）,2.0
2026/06/02,高橋 彼,その他,1.5
2026/06/02,高橋 彼,申請・手続き・事務対応,2.0
2026/06/02,高橋 彼,情報探索・問い合わせ,2.0
2026/06/02,高橋 彼,会議・MTG（その他）,2.0
2026/06/02,田中 智,資料作成・確認,1.0
2026/06/02,田中 智,業務進行,0.5
2026/06/02,田中 智,データ集計・分析・考察・思考,1.0
2026/06/02,田中 智,申請・手続き・事務対応,1.0
2026/06/02,田中 智,会議・MTG（その他）,3.0
2026/06/02,伊藤 儚,情報探索・問い合わせ,3.0
2026/06/02,伊藤 儚,その他,0.5
2026/06/02,伊藤 儚,クライアント対応,3.0
2026/06/02,伊藤 儚,会議・MTG（意思決定）,1.5
2026/06/02,渡辺 優,クライアント対応,0.5
2026/06/02,渡辺 優,会議・MTG（1オン1・相談）,1.0
2026/06/02,渡辺 優,会議・MTG（1オン1・相談）,0.5
2026/06/02,渡辺 優,申請・手続き・事務対応,1.0
2026/06/02,渡辺 優,資料作成・確認,3.0
2026/06/02,渡辺 優,情報探索・問い合わせ,0.5
2026/06/03,佐藤 健一,クライアント対応,1.5
2026/06/03,佐藤 健一,会議・MTG（意思決定）,0.5
2026/06/03,佐藤 健一,申請・手続き・事務対応,2.0
2026/06/03,佐藤 健一,会議・MTG（問題解決）,0.5
2026/06/03,佐藤 健一,情報探索・問い合わせ,1.5
2026/06/03,佐藤 健一,会議・MTG（その他）,1.0
2026/06/03,鈴木 美和,情報探索・問い合わせ,3.0
2026/06/03,鈴木 美和,その他,3.0
2026/06/03,鈴木 美和,データ集計・分析・考察・思考,2.5
2026/06/03,高橋 彼,会議・MTG（その他）,1.5
2026/06/03,高橋 彼,業務進行,1.5
2026/06/03,高橋 彼,申請・手続き・事務対応,3.0
2026/06/03,高橋 彼,その他,1.0
2026/06/03,高橋 彼,その他,1.0
2026/06/03,田中 智,会議・MTG（意思決定）,1.0
2026/06/03,田中 智,会議・MTG（情報共有・報告）,1.5
2026/06/03,田中 智,会議・MTG（その他）,1.5
2026/06/03,田中 智,クライアント対応,3.0
2026/06/03,田中 智,申請・手続き・事務対応,0.5
2026/06/03,伊藤 儚,資料作成・確認,0.5
2026/06/03,伊藤 儚,会議・MTG（1オン1・相談）,1.5
2026/06/03,伊藤 儚,クライアント対応,3.0
2026/06/03,伊藤 儚,会議・MTG（情報共有・報告）,1.5
2026/06/03,渡辺 優,その他,0.5
2026/06/03,渡辺 優,会議・MTG（その他）,1.0
2026/06/03,渡辺 優,申請・手続き・事務対応,2.0
2026/06/03,渡辺 優,情報探索・問い合わせ,0.5
